name,price
Эмаль МЛ-12 (ГОСТ 9754-76),240
Краска МА-25 (ГОСТ 10503-71),145
Эмаль ЭП-140 1К (ГОСТ 24709-81),210
Эмаль ПФ-115 цветная ЭКОНОМ (ГОСТ 6465-76),115
Краска МА-15 сурик (ГОСТ 10503-71),145
Эмаль ПФ-133 (ГОСТ 926-82),175
Краска-эмаль АК-511 (для дорожной разметки) (ГОСТ Р 52575-2006),170
Эмаль КО-811 до +200°C (+400°С) (ГОСТ 23122-78),225
Эмаль КО-8101 серебристо-серая до +600°С (ТУ 6-10-959-75),370
Эмаль ЭП-51 (ГОСТ 9640-85),320
Краска МА-22 (ГОСТ 10503-71),145
Эмаль ХС-436 (ТУ 20.30.22-002-83706890-2008),320
Эмаль ЭП-1236 1К (ГОСТ 23143-83),235
Эмаль ХВ-124 (ГОСТ 10144-89),200
Эмаль КО-813 серебристо-серая до +500°С (ГОСТ 11066-74),300
Эмаль ХС-759 1К (ГОСТ 23494-79),260
